experiment,combo,file,product_count,update_index,activity,merged,component_object_count,event_object_count,wall_seconds_n,wall_seconds_min,wall_seconds_max,wall_seconds_mean,wall_seconds_median,wall_seconds_stdev,wall_seconds_q1,wall_seconds_q3
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,4,place order,False,3,3,1,0.3740906000000024,0.3740906000000024,0.3740906000000024,0.3740906000000024,0.0,0.3740906000000024,0.3740906000000024
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,5,place order,False,3,3,1,0.37678040000000124,0.37678040000000124,0.37678040000000124,0.37678040000000124,0.0,0.37678040000000124,0.37678040000000124
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,6,pick item,False,3,2,1,0.38795470000000876,0.38795470000000876,0.38795470000000876,0.38795470000000876,0.0,0.38795470000000876,0.38795470000000876
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,7,pick item,False,3,2,1,0.4171875999999912,0.4171875999999912,0.4171875999999912,0.4171875999999912,0.0,0.4171875999999912,0.4171875999999912
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,8,pick item,False,3,2,1,0.5528915000000012,0.5528915000000012,0.5528915000000012,0.5528915000000012,0.0,0.5528915000000012,0.5528915000000012
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,9,pick item,False,3,2,1,0.4577718000000033,0.4577718000000033,0.4577718000000033,0.4577718000000033,0.0,0.4577718000000033,0.4577718000000033
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,10,pick item,False,3,2,1,0.42829159999999433,0.42829159999999433,0.42829159999999433,0.42829159999999433,0.0,0.42829159999999433,0.42829159999999433
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,11,pick item,False,3,2,1,0.5044167000000073,0.5044167000000073,0.5044167000000073,0.5044167000000073,0.0,0.5044167000000073,0.5044167000000073
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,12,pick item,False,3,2,1,0.48432679999999095,0.48432679999999095,0.48432679999999095,0.48432679999999095,0.0,0.48432679999999095,0.48432679999999095
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,13,pick item,False,3,2,1,0.4615196000000026,0.4615196000000026,0.4615196000000026,0.4615196000000026,0.0,0.4615196000000026,0.4615196000000026
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,14,pick item,False,3,2,1,0.4540768999999898,0.4540768999999898,0.4540768999999898,0.4540768999999898,0.0,0.4540768999999898,0.4540768999999898
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,15,pick item,False,3,2,1,0.4692191999999977,0.4692191999999977,0.4692191999999977,0.4692191999999977,0.0,0.4692191999999977,0.4692191999999977
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,16,pay bank transfer,False,3,3,1,0.5250552999999911,0.5250552999999911,0.5250552999999911,0.5250552999999911,0.0,0.5250552999999911,0.5250552999999911
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,17,pay bank transfer,False,3,3,1,0.5321321000000125,0.5321321000000125,0.5321321000000125,0.5321321000000125,0.0,0.5321321000000125,0.5321321000000125
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,18,pay bank transfer,False,3,3,1,0.5143563000000029,0.5143563000000029,0.5143563000000029,0.5143563000000029,0.0,0.5143563000000029,0.5143563000000029
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,19,pay bank transfer,False,3,3,1,0.6236791000000039,0.6236791000000039,0.6236791000000039,0.6236791000000039,0.0,0.6236791000000039,0.6236791000000039
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,20,pay bank transfer,False,3,3,1,0.5213169000000164,0.5213169000000164,0.5213169000000164,0.5213169000000164,0.0,0.5213169000000164,0.5213169000000164
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,21,ship,False,3,3,1,0.7328318999999794,0.7328318999999794,0.7328318999999794,0.7328318999999794,0.0,0.7328318999999794,0.7328318999999794
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,22,ship,False,3,3,1,0.6245040000000017,0.6245040000000017,0.6245040000000017,0.6245040000000017,0.0,0.6245040000000017,0.6245040000000017
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,23,ship,False,3,3,1,0.6077496000000053,0.6077496000000053,0.6077496000000053,0.6077496000000053,0.0,0.6077496000000053,0.6077496000000053
component_scale_online,smt_smt,orders_05_interleaved.jsonocel,,24,ship,False,3,3,1,0.552092000000016,0.552092000000016,0.552092000000016,0.552092000000016,0.0,0.552092000000016,0.552092000000016
