file,result_file,returncode,online_status,offline_status,offline_semantics,native_crash_retry_count,native_crash_attempts,prefix_feasible,prefix_total,prefix_control_flow,prefix_data,prefix_object,prefix_encode_seconds,prefix_solve_seconds,offline_feasible,offline_total,offline_control_flow,offline_data,offline_object,offline_encode_seconds,offline_solve_seconds,online_updates,online_total_seconds,online_avg_seconds,online_max_seconds,offline_total_seconds,conformance_total_seconds,prefix_timing_count,wall_seconds,experiment,combo,repetition,observation_timeout,observation_timeout_seconds,observation_elapsed_seconds,timeout_update,timeout_stream_position,timeout_component,timeout_event_id,timeout_activity,timeout_event_objects,timeout_component_events,timeout_component_objects,prefix_count,partial_result_saved,completed_stream_units,total_stream_units,completed_online_updates,last_completed_stream_position,error_file
products_002_budget.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_budget.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.2327130999999838,0.27518929999999386,,,,,,,,5,2.388697699999966,0.4777395399999932,0.5990033999999866,0,2.388697699999966,5,2.7252414999999814,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_002_cost.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_cost.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.23363240000000474,0.2622558000000197,,,,,,,,5,2.3118621000000417,0.46237242000000833,0.593633600000004,0,2.3118621000000417,5,2.623106699999994,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_002_early_place_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_early_place_data.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.23355679999997392,0.22094260000000077,,,,,,,,5,2.3950073999999972,0.4790014799999994,0.5466590000000053,0,2.3950073999999972,5,2.723473399999989,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_002_fit.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_fit.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,0,0,0,0,0.23355060000000094,0.14836879999998587,,,,,,,,5,2.214500499999957,0.4429000999999914,0.5330313000000046,0,2.214500499999957,5,2.5240605999999843,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_002_late_ship_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_late_ship_data.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.23432079999997768,0.1839031000000091,,,,,,,,5,2.2943064999999763,0.45886129999999525,0.5096154999999953,0,2.2943064999999763,5,2.627272099999999,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_002_priority.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_priority.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.2323942999999815,0.27660750000001144,,,,,,,,5,2.3834779999999967,0.47669559999999933,0.6042118000000016,0,2.3834779999999967,5,2.7304096000000015,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_002_vip.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_002_vip.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.23357470000001967,0.28262789999999427,,,,,,,,5,2.3469284000000243,0.46938568000000486,0.6119561000000147,0,2.3469284000000243,5,2.7296129000000064,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_005_budget.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_005_budget.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.7731216000000245,3.3988652999999545,,,,,,,,8,25.440402399999982,3.1800502999999978,9.364324900000014,0,25.440402399999982,8,25.837707100000017,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_005_cost.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_005_cost.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.7597076000000129,6.31666580000001,,,,,,,,8,21.601104799999973,2.7001380999999967,7.374706199999991,0,21.601104799999973,8,22.00559599999997,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
products_005_early_place_data.jsonocel,C:\Users\User\Documents\odacc\experiment_runs\20260920_083355\deviation_scale_online\smt_smt\run_001\products_005_early_place_data.json,0,ONLINE_OK,NOT_RUN,fresh_offline_alignment,0,0,True,1,0,1,0,0.7684424000000263,9.86386570000002,,,,,,,,8,34.125416199999904,4.265677024999988,10.861306899999988,0,34.125416199999904,8,34.474109999999996,deviation_scale_online,smt_smt,1,,,,,,,,,,,,,,,,,,
